Equipment Tag,Project Name,Area Name,Item,Unit,Qty,Capacity,Field Labor,Material Cost ($),Equipment Cost ($),hrs/qty,Mat $/qty,EQ $/qty,EQ $/Cap
DMW/WV,3615 Delgany Office Tower,Office,"Sink, S-1",ea,1,,3,$0,$897,2.50,$0,$897,NA
DMW/WV,3615 Delgany Office Tower,Office,"Urinal, UR-1",ea,8,,24,$1596,$6079,3.00,$200,$760,NA
DMW/WV,3615 Delgany Office Tower,Office,"Urinal, UR-2",ea,8,,24,$1596,$6079,3.00,$200,$760,NA
DMW/WV,3615 Delgany Office Tower,Office,"water closet, WC-1",ea,37,,83,$13431,$22726,2.25,$363,$614,NA
DMW/WV,3615 Delgany Office Tower,Office,"Water Closet, WC-2",ea,18,,41,$6534,$11056,2.25,$363,$614,NA
DMW/WV,3615 Delgany Office Tower,Retail,"Electric Water Cooler, EWC-1",ea,1,,4,$0,$4154,4.00,$0,$4154,NA
DMW/WV,3615 Delgany Office Tower,Retail,"Lavatory, L-1",ea,4,,10,$0,$4423,2.50,$0,$1106,NA
DMW/WV,3615 Delgany Office Tower,Retail,"Shower (ADA), SH-2 (Trim Only)",ea,2,,2,$0,$762,1.20,$0,$381,NA
DMW/WV,3615 Delgany Office Tower,Retail,"Shower, SH-1 (Trim only)",ea,1,,1,$0,$381,1.20,$0,$381,NA
DMW/WV,3615 Delgany Office Tower,Retail,"water closet, WC-1",ea,2,,5,$0,$1228,2.25,$0,$614,NA
DMW/WV,3615 Delgany Office Tower,Retail,"Water Closet, WC-2",ea,2,,5,$0,$1228,2.25,$0,$614,NA
DSN,3615 Delgany Office Tower,Retail,"Downspout, DSN-1",ea,2,,3,$0,$1212,1.50,$0,$606,NA
DWH,3615 Delgany Office Tower,Office,"EWHs, Electric Water Heaters",gal,2,60,5,,$4384,2.50,,$2192,$73.06
DWH,3615 Delgany Office Tower,Retail,"EWH, Electric Water Heater",gal,1,50,3,,$4299,3.00,,$4299,$85.98
DWP,3615 Delgany Office Tower,Office,"DWCP, Inline Domestic Water Circ Pump",gpm,2,4,7,,$946,3.50,,$473,$236.62
DWP,3615 Delgany Office Tower,Retail,"DWCP, Inline Domestic Water Circ Pump",gpm,1,2,4,,$473,3.50,,$473,$236.62
ESP,3615 Delgany Office Tower,Garage (BG),"ESP-1,2, Elevator Pit Sump Pump",gpm,2,250,7,,$10165,3.50,,$5083,$40.66
ESP,3615 Delgany Office Tower,Garage (BG),"SP-1,2, Garage Drainage Sump Pump",gpm,1,400,16,,$31851,16.00,,$31851,$79.63
ESP,3615 Delgany Office Tower,Garage (BG),"SP-3,4, Storm Sump Pump",gpm,1,176,16,,$26546,16.00,,$26546,$150.83
ET,3615 Delgany Office Tower,Office,** EWH ET,ea,2,,3,,$1771,1.50,,$886,NA
ET,3615 Delgany Office Tower,Office,"HW Specials - ET, Expansion Tank",gal,1,2000,16,,$12535,16.00,,$12535,$6.27
ET,3615 Delgany Office Tower,Retail,**EWH ET,ea,1,,3,,$886,3.00,,$886,NA
FCU,3615 Delgany Office Tower,Garage (AG),"SSAC, Split System AC",ea,4,,132,,$29898,33.00,,$7474,NA
FCU,3615 Delgany Office Tower,Garage (BG),"SSAC, Split System AC",ea,4,,16,,$29898,4.00,,$7474,NA
FCU,3615 Delgany Office Tower,Office,"FCUs, Fan Coil Units",ea,1,,4,,$2589,4.00,,$2589,NA
FCU,3615 Delgany Office Tower,Office,"SSAC, Split System AC",ea,1,,30,,$7474,30.00,,$7474,NA
FCU,3615 Delgany Office Tower,Retail,"FCUs, Fan Coil Units",ea,4,,16,,$10355,4.00,,$2589,NA
FCU,3615 Delgany Office Tower,Retail,"SSAC, Split System AC",ea,2,,100,,$14949,50.00,,$7474,NA
FLEX,3615 Delgany Office Tower,Office,Spins & Flex,ea,38,,,,$5557,,,$146,NA
GEF,3615 Delgany Office Tower,Garage (AG),"EF, Exhaust Fan",cfm,11,108125,,,$6843,,,$622,$0.06
GEF,3615 Delgany Office Tower,Garage (BG),"EF, Exhaust Fan",cfm,6,83600,,,$6461,,,$1077,$0.08
GEF,3615 Delgany Office Tower,Office,"EF, Exhaust Fan",cfm,10,13450,,,$19384,,,$1938,$1.44
GEF,3615 Delgany Office Tower,Office,"HPF, Hoist Pressurization Fan",cfm,2,49400,,,$32307,,,$16153,$0.65
GEF,3615 Delgany Office Tower,Office,"SPF, Stair Pressurization Fan",cfm,2,29000,,,$32307,,,$16153,$1.11
GF,3615 Delgany Office Tower,Office,"HW Specials - GF, Glycol Feeder",hp,1,0,6,,$1938,5.50,,$1938,$5873.95
GRD,3615 Delgany Office Tower,Garage (BG),"GRDs, Grilles, Registers & Diffuser",ea,5,,,,$458,,,$92,NA
GRD,3615 Delgany Office Tower,Office,"GRDs, Grilles, Registers & Diffusers",ea,250,,,,$22900,,,$92,NA
GRD,3615 Delgany Office Tower,Retail,"GRDs, Grilles, Registers & Diffuser",ea,38,,,,$3481,,,$92,NA
HWB,3615 Delgany Office Tower,Office,"HWB, Heating Water Boilers",mbh,2,5000,56,,$93376,28.00,,$46688,$18.68
HWP,3615 Delgany Office Tower,Office,"HWP, Heating Water Pumps",hp,2,20,36,,$7883,18.00,,$3941,$394.14
L,3615 Delgany Office Tower,Garage (AG),"L, Louver",ea,15,,,,$14538,,,$969,NA
L,3615 Delgany Office Tower,Garage (BG),"L, Louver",ea,4,,,,$3877,,,$969,NA
LSD,3615 Delgany Office Tower,Office,"LSD, Life Safety Dampers",ea,85,,,,$86791,,,$1021,NA
MVD,3615 Delgany Office Tower,Office,"MBDs, Manual Balancing Dampers",ea,81,,,,$8090,,,$100,NA
Other,3615 Delgany Office Tower,Garage (BG),** SE - 4' Manhole,ea,1,,24,,$2166,24.00,,$2166,NA
Other,3615 Delgany Office Tower,Garage (BG),** SOI - 2' Manhole,ea,2,,40,,$0,20.00,,$0,NA
Other,3615 Delgany Office Tower,Garage (BG),** SP - 4' Manhole,ea,1,,24,,$2280,24.00,,$2280,NA
Other,3615 Delgany Office Tower,Garage (BG),Misc Plumbing Equipment,est,1,,20,,$0,20.25,,$0,NA
Other,3615 Delgany Office Tower,Office,"** HPF 14"" Curb",ea,2,,,$646,$0,,$323,$0,NA
Other,3615 Delgany Office Tower,Office,** intertia/spring isolation base,ea,2,,2,$646,$0,1.00,$323,$0,NA
Other,3615 Delgany Office Tower,Office,"** SMEF 14"" Curb",ea,2,,,$646,$0,,$323,$0,NA
Other,3615 Delgany Office Tower,Office,"** SPF 14"" Curb",ea,2,,,$646,$0,,$323,$0,NA
Other,3615 Delgany Office Tower,Office,** Suction Diffusers,ea,2,,,,$1421,,,$711,NA
Other,3615 Delgany Office Tower,Office,Misc Plumbing Equipment,est,1,,72,$997,$0,72.33,$997,$0,NA
Other,3615 Delgany Office Tower,Retail,"HC, HW Heating Coil",ea,1,,1,,$1131,1.00,,$1131,NA
Other,3615 Delgany Office Tower,Retail,Misc Plumbing Equipment,est,1,,16,$201,$0,16.27,$201,$0,NA
RD/ORD,3615 Delgany Office Tower,Office,"Overflow Drain, OD-1",ea,29,,44,$0,$8836,1.50,$0,$305,NA
RD/ORD,3615 Delgany Office Tower,Office,"Roof Drain, RD-1",ea,29,,44,$0,$6052,1.50,$0,$209,NA
RPBP,3615 Delgany Office Tower,Garage (BG),"RPBP, Reduce Pressure Backflow Preventer",ea,1,,2,,$338,2.00,,$338,NA
RPBP,3615 Delgany Office Tower,Office,"RPBPs, Reduced Pressure Backflow Preventers",ea,2,,6,,$676,3.00,,$338,NA
RTU,3615 Delgany Office Tower,Office,"RTU, Roof Top Units",cfm,2,170000,268,$258,$1725179,134.00,$129,$862589,$10.15
SA VAV,3615 Delgany Office Tower,Office,"SA VAV, Supply Air VAV",ea,20,,,,$6164,,,$308,NA
SEF,3615 Delgany Office Tower,Office,"SMEF, Smoke Exhaust Fans",cfm,2,29000,,,$25845,,,$12923,$0.89
SEP,3615 Delgany Office Tower,Garage (BG),"SE-1,2, Sewage Ejector Pump",gpm,1,200,16,,$19004,16.00,,$19004,$95.02
SOI,3615 Delgany Office Tower,Garage (BG),"SOI-1, Sand-oil Interceptor",gal,1,500,30,,$5338,30.00,,$5338,$10.68
UH,3615 Delgany Office Tower,Garage (AG),"EUH, Electric Unit Heater",ea,11,,7,,$19286,0.64,,$1753,NA
UH,3615 Delgany Office Tower,Garage (BG),"EUH, Electric Unit Heater",ea,12,,39,,$18930,3.21,,$1577,NA
UH,3615 Delgany Office Tower,Office,"EUHs, Electric Unit Heaters",ea,29,,130,,$50846,4.47,,$1753,NA
VFD,3615 Delgany Office Tower,Garage (AG),** EF VFD,ea,4,,,,$7754,,,$1938,NA
VFD,3615 Delgany Office Tower,Garage (BG),** EF VFD,ea,3,,,,$5169,,,$1723,NA
VFD,3615 Delgany Office Tower,Office,** HPF VFD,ea,2,,,,$10338,,,$5169,NA
VFD,3615 Delgany Office Tower,Office,** SMEF VFD,ea,2,,,,$10338,,,$5169,NA
VFD,3615 Delgany Office Tower,Office,** SPF VFD,ea,2,,,,$10338,,,$5169,NA
VFD,3615 Delgany Office Tower,Office,"** VFD, Variable Frequency Drive",ea,2,,,,$5692,,,$2846,NA
WV,3615 Delgany Office Tower,Garage (AG),"Garage Drain, GD-1",ea,11,,17,$0,$8695,1.50,$0,$790,NA
WV,3615 Delgany Office Tower,Garage (AG),"Trench Drain, TD-2",lf,30,,21,$0,$20853,0.70,$0,$695,NA
WV,3615 Delgany Office Tower,Garage (BG),"Floor Drain, FD-1",ea,4,,6,$0,$443,1.50,$0,$111,NA
WV,3615 Delgany Office Tower,Garage (BG),"Garage Drain, GD-1",ea,7,,11,$0,$5533,1.50,$0,$790,NA
WV,3615 Delgany Office Tower,Office,"Floor Drain, FD-1",ea,26,,33,$0,$2879,1.25,$0,$111,NA
WV,3615 Delgany Office Tower,Office,"Floor Sink, FS-1",ea,1,,2,$0,$653,1.50,$0,$653,NA
WV,3615 Delgany Office Tower,Office,"Trench Drain, TD-2",lf,170,,112,$0,$118165,0.66,$0,$695,NA
WV,3615 Delgany Office Tower,Retail,"Floor Drain, FD-1",ea,6,,8,$0,$664,1.25,$0,$111,NA
WV,3615 Delgany Office Tower,Retail,"Garage Drain, GD-1",ea,1,,2,$0,$790,2.00,$0,$790,NA
WV,3615 Delgany Office Tower,Retail,"Mop sink, MSB-1",ea,1,,4,$0,$895,4.00,$0,$895,NA
WV,3615 Delgany Office Tower,Retail,"Trench Drain, TD-2",lf,10,,7,$0,$6951,0.66,$0,$695,NA
WV,3615 Delgany Office Tower,Retail,"Trench Drain, TD-3",ea,6,,4,$0,$2860,0.66,$0,$477,NA
AS,40th & Blake,Roof,"CW Air Separator, AS",ea,1,,0,,$16283,0.00,,$16283,NA
AS,40th & Blake,Roof,"HW Air Separator, AS",ea,1,,0,,$3877,0.00,,$3877,NA
BBR,40th & Blake,Garage,"Electric Baseboard heaters, EBB",lf,32,,16,,$4900,0.50,,$153,NA
CT,40th & Blake,Roof,"Cooling Towers, CT-1,2",gpm,2,750,136,,$263623,68.00,,$131811,$351.50
CU,40th & Blake,Garage,"Electrical/Fire Room AC Units, AC",ea,5,,210,,$29154,42.00,,$5831,NA
CU,40th & Blake,Level 1 - Lobby,"Electrical/FCC AC Units, AC",ea,2,,84,,$11661,42.00,,$5831,NA
CU,40th & Blake,Levels 2-16,"IT Room AC Units, ONE PER FLOOR",ea,15,,630,,$87461,42.00,,$5831,NA
CU,40th & Blake,Roof,"AC Units, AC",ea,3,,126,,$17492,42.00,,$5831,NA
CUH,40th & Blake,Garage,"Elevator Lobby Electric Cabinet Unit Heaters, ECUH",ea,3,,9,,$8374,3.00,,$2791,NA
CUH,40th & Blake,Garage,"Stairwell Electric Cabinet Unit Heaters, ECUHs",ea,2,,6,,$5583,3.00,,$2791,NA
CUH,40th & Blake,Level 1 - Lobby,"Electric Cabinet Unit Heaters, ECUH",ea,3,,9,,$8374,3.00,,$2791,NA
CUH,40th & Blake,Levels 6-9,Level 7 Terrace ECUHs,ea,2,,6,,$5583,3.00,,$2791,NA
CUH,40th & Blake,Levels 6-9,Level 9 Terrace ECUHs,ea,1,,3,,$2791,3.00,,$2791,NA
CUH,40th & Blake,Roof,"Electric Cabinet Unit Heater, ECUH",ea,1,,3,,$2791,3.00,,$2791,NA
CWHX,40th & Blake,Roof,"Cooling Tower Heat Exchanger, HXR",ea,1,,48,,$47297,48.00,,$47297,NA
CWP,40th & Blake,Roof,"Condenser Water Pumps, CWP",ea,2,3000,24,,$36287,12.00,,$18143,$12.10
CWP,40th & Blake,Roof,"Cooling Tower Water Pumps, CTWP",ea,2,3600,24,,$30084,12.00,,$15042,$8.36
DBP,40th & Blake,Garage,"Domestic Water Booster Pump, DWBP-1",ea,1,,16,,$54275,16.00,,$54275,NA
DMW,40th & Blake,Garage,hose bibb (hb),ea,2,,1,$484,,0.50,$242,,
DMW,40th & Blake,Garage,wall hydrant (wh),ea,4,,4,$1994,,1.00,$498,,
DMW,40th & Blake,Level 1 - Lobby,"hose bib, HB-1",ea,1,,1,$0,,0.50,$0,,
DMW,40th & Blake,Level 1 - Lobby,"wall hydrant, WH-1",ea,7,,7,$3489,,1.00,$498,,
DMW,40th & Blake,Levels 2-16,ice maker box,ea,150,,150,$0,,1.00,$0,,
DMW,40th & Blake,Levels 2-16,wall hydrant (wh),ea,7,,7,$3489,,1.00,$498,,
DMW,40th & Blake,Levels 2-16,washer box (WB-1),ea,150,,150,$16699,,1.00,$111,,
DMW,40th & Blake,Levels 6-9,ice maker box,ea,45,,45,$0,,1.00,$0,,
DMW,40th & Blake,Levels 6-9,"wall hydrant, WH-1",ea,4,,4,$1994,,1.00,$498,,
DMW,40th & Blake,Levels 6-9,washer box (WB-1),ea,44,,44,$4898,,1.00,$111,,
DMW,40th & Blake,Roof,"hose bib, HB-1",ea,1,,1,$242,,0.50,$242,,
DMW,40th & Blake,Roof,wall hydrant (wh),ea,2,,2,$997,,1.00,$498,,
DMW/WV,40th & Blake,Level 1 - Lobby,"ADA water closet, WC-2",ea,1,,3,$336,,2.50,$336,,
DMW/WV,40th & Blake,Level 1 - Lobby,"mop sink basin, MSB-1",ea,1,,4,$942,,4.00,$942,,
DMW/WV,40th & Blake,Level 1 - Lobby,"wall mounted lavatory, L-2",ea,1,,4,$453,,3.50,$453,,
DMW/WV,40th & Blake,Levels 2-16,"ADA water closet, WC-2",ea,2,,5,$671,,2.50,$336,,
DMW/WV,40th & Blake,Levels 2-16,bathtub (bt-1),ea,121,,605,$82765,,5.00,$684,,
DMW/WV,40th & Blake,Levels 2-16,"kitchen sink, S-1",ea,150,,450,$62995,,3.00,$420,,
DMW/WV,40th & Blake,Levels 2-16,"laundry room sink, S-2",ea,12,,30,$5311,,2.50,$443,,
DMW/WV,40th & Blake,Levels 2-16,shower -shower valve/FD,ea,99,,297,$29585,,3.00,$299,,
DMW/WV,40th & Blake,Levels 2-16,"undercounter lavatory, L-1",ea,309,,773,$59025,,2.50,$191,,
DMW/WV,40th & Blake,Levels 2-16,"urinal, U-1",ea,1,,4,$529,,4.25,$529,,
DMW/WV,40th & Blake,Levels 2-16,"water closet, WC-1",ea,260,,650,$69973,,2.50,$269,,
DMW/WV,40th & Blake,Levels 6-9,"ADA water closet, WC-2",ea,4,,10,$1343,,2.50,$336,,
DMW/WV,40th & Blake,Levels 6-9,bathtub (bt-1),ea,33,,165,$22572,,5.00,$684,,
DMW/WV,40th & Blake,Levels 6-9,"dual electric water cooler, EWC-1",ea,2,,9,$4888,,4.50,$2444,,
DMW/WV,40th & Blake,Levels 6-9,"kitchen sink, S-1",ea,45,,135,$18899,,3.00,$420,,
DMW/WV,40th & Blake,Levels 6-9,"laundry room sink, S-2",ea,3,,8,$1328,,2.50,$443,,
DMW/WV,40th & Blake,Levels 6-9,"mop sink basin, MSB-1",ea,1,,4,$942,,4.00,$942,,
DMW/WV,40th & Blake,Levels 6-9,shower -shower valve/FD,ea,25,,75,$7471,,3.00,$299,,
DMW/WV,40th & Blake,Levels 6-9,"undercounter lavatory, L-1",ea,87,,218,$16619,,2.50,$191,,
DMW/WV,40th & Blake,Levels 6-9,"urinal, U-1",ea,1,,4,$529,,4.25,$529,,
DMW/WV,40th & Blake,Levels 6-9,"water closet, WC-1",ea,73,,183,$19646,,2.50,$269,,
DOAS,40th & Blake,Roof,"Direct Outside Air Units, DOAS-1,2",cfm,2,36000,54,,$630214,27.00,,$315107,$17.51
DSN,40th & Blake,Levels 2-16,"8"" downspout nozzle, DSN",ea,2,,3,$1191,,1.25,$596,,
DWH,40th & Blake,Roof,"Gas Fired Water Heaters, GWH-1,2,3,4",mbh,4,2000,40,,$130261,10.00,,$32565,$65.13
DWP,40th & Blake,Roof,"Domestic Water Circ Pumps, DWCP-1,2,3",ea,3,,9,,$11630,3.00,,$3877,NA
ESP,40th & Blake,Garage,Duplex Sump Pump System,ea,1,,16,,$18609,16.00,,$18609,NA
ESP,40th & Blake,Garage,"Elevator Sump Pump, ESP-1",gpm,1,50,6,,$5990,6.00,,$5990,$119.81
ESP,40th & Blake,Garage,"Elevator Sump Pump, ESP-2",gpm,1,100,6,,$6257,6.00,,$6257,$62.57
ESP,40th & Blake,Garage,Triplex Sump Pump System,ea,1,,20,,$20159,20.00,,$20159,NA
ET,40th & Blake,Roof,"CW Expansion Tank, ET",ea,1,,0,,$6978,0.00,,$6978,NA
ET,40th & Blake,Roof,"Domestic Expansion Tanks, DET-1,2",ea,2,,8,,$3412,4.00,,$1706,NA
ET,40th & Blake,Roof,"Domestic Water Expansion Tank, DWET-1",ea,1,,4,,$2636,4.00,,$2636,NA
ET,40th & Blake,Roof,"HW Expansion Tank, ET",ea,1,,0,,$2636,0.00,,$2636,NA
Flue,40th & Blake,Level 1 - Lobby,Condensing Boiler Flue Piping - Double Wall,lf,24,,0,,$9304,0.00,,$388,NA
Flue,40th & Blake,Roof,Condensing Boiler Flue Piping - Double Wall,lf,12,,0,,$4652,0.00,,$388,NA
GEF,40th & Blake,Garage,Garage Transfer Fans,cfm,,36865,0,,$30239,NA,,NA,$0.82
GEF,40th & Blake,Garage,Pet Spa Prop Fan,cfm,,500,0,,$946,NA,,NA,$1.89
GEF,40th & Blake,Garage,"Vertically Stacked Exhaust Fans, GEF",cfm,,55298,0,,$17438,NA,,NA,$0.32
GEF,40th & Blake,Level 1 - Lobby,"Exhaust Fan, EF - Mail Room",cfm,,500,0,,$946,NA,,NA,$1.89
GEF,40th & Blake,Level 1 - Lobby,Exhaust Fans - Loading and Trash,ea,3,,0,,$5428,0.00,,$1809,NA
GEF,40th & Blake,Roof,"Hoistway Pressurization Fans, HPF",cfm,,20000,0,,$10855,NA,,NA,$0.54
GEF,40th & Blake,Roof,"Pool Room Exhaust Fan, EF",cfm,,750,0,,$1861,NA,,NA,$2.48
GEF,40th & Blake,Roof,"Roof Penthouse Exhaust Fan, EF",cfm,,10000,0,,$4652,NA,,NA,$0.47
GEF,40th & Blake,Roof,"Stairway Pressurization Fans, SPFs",cfm,,16000,0,,$9467,NA,,NA,$0.59
GF,40th & Blake,Roof,"CW Glycol Feeder, GF",ea,1,,0,,$3877,0.00,,$3877,NA
GF,40th & Blake,Roof,"HW Glycol Feeder, GF",ea,1,,0,,$3877,0.00,,$3877,NA
GI,40th & Blake,Garage,"GIs, Grease Interceptors",gal,3,9000,36,,$55826,12.00,,$18609,$6.20
GRD,40th & Blake,Level 1 - Lobby,Ceiling supply grille,ea,19,,2,,$812,0.10,,$43,NA
GRD,40th & Blake,Level 1 - Lobby,Exhaust lay-in,ea,3,,0,,$147,0.10,,$49,NA
GRD,40th & Blake,Levels 2-16,Ceiling supply grille,ea,125,,13,,$5344,0.10,,$43,NA
GRD,40th & Blake,Levels 2-16,Exhaust lay-in,ea,234,,23,,$11441,0.10,,$49,NA
GRD,40th & Blake,Levels 2-16,Supply lay-in diffuser,ea,150,,15,,$16752,0.10,,$112,NA
GRD,40th & Blake,Levels 2-16,Transfer grille,ea,364,,36,,$11758,0.10,,$32,NA
GRD,40th & Blake,Levels 6-9,Ceiling supply grille,ea,84,,8,,$3591,0.10,,$43,NA
GRD,40th & Blake,Levels 6-9,Exhaust lay-in,ea,69,,7,,$3374,0.10,,$49,NA
GRD,40th & Blake,Levels 6-9,Supply lay-in diffuser,ea,44,,4,,$4914,0.10,,$112,NA
GRD,40th & Blake,Levels 6-9,Transfer grille,ea,102,,10,,$3295,0.10,,$32,NA
GRD - SG,40th & Blake,Level 1 - Lobby,Sidewall grille (return),ea,4,,0,,$158,0.10,,$40,NA
GRD - SG,40th & Blake,Level 1 - Lobby,Sidewall grille (supply),ea,11,,1,,$427,0.10,,$39,NA
GRD - SG,40th & Blake,Levels 2-16,Sidewall grille (return),ea,325,,33,,$12842,0.10,,$40,NA
GRD - SG,40th & Blake,Levels 2-16,Sidewall grille (supply),ea,801,,80,,$31103,0.10,,$39,NA
GRD - SG,40th & Blake,Levels 6-9,Sidewall grille (return),ea,100,,10,,$3951,0.10,,$40,NA
GRD - SG,40th & Blake,Levels 6-9,Sidewall grille (supply),ea,219,,22,,$8504,0.10,,$39,NA
HT,40th & Blake,Roof,Heat Trace,lf,367,,9,$7392,,0.02,$20,,
HWB,40th & Blake,Roof,"Boilers, B",mbh,4,12000,144,,$328753,36.00,,$82188,$27.40
HWP,40th & Blake,Roof,"Heating Water Pumps, HWP",ea,4,1200,40,,$39078,10.00,,$9770,$32.57
IH,40th & Blake,Levels 2-16,"Res. Range Hoods w/ inline booster fans, Level 15-16",ea,21,,0,,$9770,0.00,,$465,NA
IH,40th & Blake,Roof,Continuously Operating fan - Res. Range Hood Exhaust,ea,2,,0,,$8296,0.00,,$4148,NA
L,40th & Blake,Garage,Garage Louvers,ea,5,,0,,$10235,0.00,,$2047,NA
L,40th & Blake,Level 1 - Lobby,"Acoustical Generator Louvers with Mot Dampers, LVR",ea,2,,0,,$19223,0.00,,$9611,NA
L,40th & Blake,Level 1 - Lobby,"Louvers with Mot Dampers, LVR",ea,4,,0,,$4644,0.00,,$1161,NA
L,40th & Blake,Levels 2-16,"Kitchen Exhaust Louver, LVR, Level 15 & 16",ea,4,,0,,$1489,0.00,,$372,NA
Meter,40th & Blake,Garage,"3"" Domestic Water Meter",ea,1,,4,,$0,4.00,,$0,NA
Meter,40th & Blake,Levels 2-16,Tenant Gas Submeters,ea,21,,42,,$19539,2.00,,$930,NA
Other,40th & Blake,Garage,Parking Exhaust Steel Grate,ea,1,,0,,$5970,0.00,,$5970,NA
Other,40th & Blake,Roof,**DOAS Isolation Curbs,ea,2,,16,,$0,8.00,,$0,NA
Other,40th & Blake,Roof,"Sidestream Filter, CWCS",ea,1,220,12,,$13569,12.00,,$13569,$61.68
PF,40th & Blake,Roof,"CW Pot Feeder, PF",ea,1,,0,,$1086,0.00,,$1086,NA
PF,40th & Blake,Roof,"HW Pot Feeder, PF",ea,1,,0,,$1086,0.00,,$1086,NA
RD/ORD,40th & Blake,Garage,"Area Drains, AD-1",ea,16,,29,,$6567,1.75,,$402,NA
RD/ORD,40th & Blake,Levels 2-16,"3"" overflow drains, OD",ea,8,,10,$3336,,1.25,$417,,
RD/ORD,40th & Blake,Levels 2-16,"3"" roof drains, RD",ea,8,,10,$2845,,1.25,$356,,
RD/ORD,40th & Blake,Levels 6-9,"3"" overflow drains, OD",ea,10,,13,$4171,,1.25,$417,,
RD/ORD,40th & Blake,Levels 6-9,"3"" roof drains, RD",ea,10,,13,$3556,,1.25,$356,,
RD/ORD,40th & Blake,Roof,"3"" overflow drains, OD",ea,6,,8,$2502,,1.25,$417,,
RD/ORD,40th & Blake,Roof,"3"" roof drains, RD",ea,6,,8,$2134,,1.25,$356,,
RD/ORD,40th & Blake,Roof,"6"" overflow drains, OD",ea,3,,3,$1492,,1.10,$497,,
RD/ORD,40th & Blake,Roof,"6"" roof drains, RD",ea,3,,3,$1308,,1.10,$436,,
RPBP,40th & Blake,Garage,"4"" Reduced Pressure Back Flow Preventor",ea,1,,8,,$3098,8.00,,$3098,NA
SEF,40th & Blake,Roof,"Smoke Exhaust Fans, SEFs",cfm,,36000,0,,$14732,NA,,NA,$0.41
SOI,40th & Blake,Garage,"Sand Oil Interceptor, SOI-1",gal,1,2000,12,,$14267,12.00,,$14267,$7.13
UH,40th & Blake,Garage,"Storage Room/Water Entry Electric Unit Heaters, EUH",ea,6,,21,$791,$10095,3.50,$132,$1683,NA
UH,40th & Blake,Level 1 - Lobby,"Electric Plenum Heaters, 5 kW EUH",ea,56,,196,$7381,$56446,3.50,$132,$1008,NA
UH,40th & Blake,Level 1 - Lobby,"LVL 1 Electric Unit Heaters, EUH",ea,13,,46,$1714,$13104,3.50,$132,$1008,NA
WSHP,40th & Blake,Garage,"Maintenance Room & Pet Spa Heat Pumps, HP",ea,2,,8,,$7360,4.00,,$3680,NA
WSHP,40th & Blake,Level 1 - Lobby,"Water Source Heat Pumps, HP",ea,7,,28,,$25759,4.00,,$3680,NA
WSHP,40th & Blake,Levels 2-16,"Unit Water Source Heat Pumps, HP",ea,197,,788,,$724933,4.00,,$3680,NA
WSHP,40th & Blake,Levels 6-9,"Fitness Center Heat Pumps, HP",ea,2,,8,,$7360,4.00,,$3680,NA
WSHP,40th & Blake,Levels 6-9,"Level 7 Heat Pumps, HP",ea,6,,24,,$22079,4.00,,$3680,NA
