OmniClass_Code,OmniClass_Title,Description
11-21 15 23,Outpatient Surgery Facility,nan
11-21 15 27,Office Surgery Facility,nan
11-21 15 31,Gastrointestinal Endoscopy Facility,nan
11-21 15 35,Renal Dialysis Center,nan
11-21 15 39,Outpatient Rehabilitation Facility,nan
11-21 15 43,Freestanding Birth Center,nan
11-21 15 47,Adult Day Health Care Facility,nan
11-21 17 00,Medical Office Building (MOB),nan
11-21 22 00,Ambulatory Care Facility,nan
11-21 22 11,Ambulatory Surgery Center,nan
11-21 22 15,Comprehensive Ambulatory Care Center,nan
11-21 25 00,Residential Health Care Facility,nan
11-21 25 11,Residential Nursing Facility,nan
11-21 25 15,Residential Hospice Facility,nan
11-21 25 19,Assisted Living Facility,nan
11-21 28 00,"Mobile, Transportable, Relocatable Health Care Unit",nan
11-21 32 00,"Mental, Behavioral Care Facility",nan
11-21 32 11,Psychiatric Hospital,nan
11-21 32 15,Psychiatric Outpatient Facility,nan
11-21 35 00,Maternity Facility,nan
11-21 38 00,Animal Healthcare Facility,nan
11-21 42 00,Dental Facility,nan
11-21 45 00,Medical Center,nan
11-21 48 00,Medical Warehouse,nan
11-21 52 00,Ambulance Shelter,nan
11-21 55 00,Death Facility,nan
11-21 55 11,Funeral Home,nan
11-21 55 15,Cremation Facility,nan
11-21 55 19,Cemetery,nan
11-21 55 23,Columbarium,nan
11-23 00 00,Hospitality Facility,nan
11-23 12 00,Dining Establishment,nan
11-23 12 11,Military Dining Facility,nan
11-23 12 15,Military Dining Support Facility,nan
11-23 12 19,Military Open Mess and Club Facility,nan
11-23 12 23,Military Exchange Eating Facility,nan
11-23 12 27,Military Non-Exchange Eating Facility,nan
11-23 12 31,Fast Food Restaurant,nan
11-23 12 35,Full Service Restaurant,nan
11-23 12 43,Limited Service Restaurant,nan
11-23 12 47,Student Dining Hall,A dining hall for students to eat meals.
11-23 15 00,"Tavern, Bar, or Micro-Brewery","A tavern, bar, or micro-brewery where alcoholic beverages are served."
11-23 18 00,Nightclub,A nightclub or dance club where people go to socialize and dance.
11-27 55 11,Operations Support Lab,A lab that supports operations and maintenance activities.
11-51 31 11,Auto Maintenance and Fueling Station,A facility for maintaining and fueling vehicles.
12-21 17 25,Reservoir,A reservoir or storage tank for water.
13-31 17 00,Training Spaces,Spaces used for training and education purposes.
13-31 17 11,Computer Lab,A computer lab for hands-on technology training.
13-31 17 13,Woodshop/Metalshop,A workshop for woodworking or metalworking.
13-31 17 15,Training Support Space,Spaces that support training activities.
13-31 17 17,Religious Education Space,Spaces for religious education and activities.
13-31 19 00,Study Spaces,Spaces for individual or group study.
13-31 19 13,Study Room,A private room for individual or small group study.
13-31 19 15,Study Service,Spaces that support study activities.
13-33 00 00,Recreation Spaces,Spaces for recreational activities.
13-33 11 00,Athletic Recreation Spaces,Spaces for athletic and sports-related recreation.
13-33 11 11,Athletic  Spectator Seating,Seating for spectators at athletic events.
13-33 11 11-1,Bleacher,Bleachers or temporary seating for spectators.
13-33 11 13,Team Athletic Recreation Spaces,Spaces for team sports and athletic activities.
13-33 11 13-1,Baseball Field,A baseball field for playing the sport.
13-33 11 13-2,Softball Fields,Softball fields for playing the sport.
13-33 11 13-3,Dugouts,Dugouts for players during baseball or softball games.
13-33 11 13-4,Grass Playing Fields,Grass playing fields for various sports.
13-33 11 13-5,Synthetic Fields,Synthetic turf playing fields for various sports.
13-33 11 13-6,Football Field,A football field for playing the sport.
13-33 11 13-7,Soccer Field,A soccer field for playing the sport.
13-33 11 13-8,Basketball Courts,Basketball courts for playing the sport.
13-33 11 13-9,Field Light Poles,Lighting poles for illuminating outdoor playing fields.
13-33 11 13-10,Press Box,A press box for media and officials at athletic events.
13-33 11 13-11,Scoreboards,Scoreboards for displaying scores and game information.
13-33 11 15,Individual Athletic Recreation Spaces,Spaces for individual sports and athletic activities.
13-33 11 15-1,Hard Playing Surfaces,Hard surfaces for various sports and activities.
13-33 11 15-2,Tennis Courts,Tennis courts for playing the sport.
13-33 11 15-3,Volleyball Court,A volleyball court for playing the sport.
13-33 11 15-4,Golf Course,A golf course for playing the sport.
13-33 11 15-5,Driving Range,A driving range for practicing golf shots.
13-33 11 15-6,Golf Course Support Space,Spaces that support a golf course.
13-33 11 15-7,Skating Rink,An ice skating rink for recreational skating.
13-33 11 15-8,Boxing Ring,A boxing ring for boxing matches and training.
13-33 11 15-9,Wrestling Mat,A wrestling mat for wrestling matches and training.
13-33 11 15-10,Diving Board,Diving boards for diving into a pool.
13-33 11 15-11,Bowling Lane,Bowling lanes for playing the sport.
13-33 11 15-12,Dart Throwing Area,An area for throwing darts.
13-33 11 15-13,Circuit Training Course Area,A circuit training course for cardiovascular exercise.
13-33 11 15-14,Running Tracks,Running tracks for running and jogging.
13-33 11 15-15,Ski Lift Space,Spaces for ski lifts and related equipment.
13-33 11 15-16,Exercise Space,Spaces for general exercise and fitness activities.
13-33 11 15-17,Workout Station,Individual workout stations for strength training.
13-33 11 15-18,Aerobic Studio,A studio for aerobic exercise classes.
13-33 11 15-19,Climbing Wall,A climbing wall for rock climbing and bouldering.
13-33 11 15-20,Ropes Course Elements,"Elements used in a ropes course, such as climbing walls, zip lines, and other recreational equipment."
13-33 13 00,Swimming Pools,An outdoor or indoor swimming pool for recreational or competitive use.
13-33 13 11,Outdoor Swimming Pool,An outdoor swimming pool for recreational or competitive use.
13-33 13 13,Indoor Swimming Pool,An indoor swimming pool for recreational or competitive use.
13-33 13 13-1,Diving Tank,A specialized swimming pool for diving activities.
13-33 15 00,Non-Athletic Recreation Spaces,"Spaces for non-athletic recreational activities, such as parks, playgrounds, and community centers."
13-33 15 11,Park,An outdoor public space with amenities for recreation and leisure.
13-37 11 15-2,Audience Seating Space,"A space for seating an audience, such as in a theater or auditorium."
13-51 14 29,"Nursery, Airborne Infection Isolation",A nursery room for infants and young children with specialized air filtration to prevent airborne infections.
13-51 14 31,"Nursery, Observation",A nursery room for observing and monitoring infants and young children.
13-51 61 73,Whirlpool,A therapeutic whirlpool or hot tub for rehabilitation and relaxation.
13-51 61 75,Rehabilitation Living Skills Training Apartment,A simulated apartment for training individuals in independent living skills.
13-51 64 00,Dental Spaces,"Spaces dedicated to dental care, including treatment rooms, laboratories, and support areas."
13-51 64 11,Dental CS Suite,"A suite of rooms for comprehensive dental care, including treatment, imaging, and sterilization."
13-51 64 13,Dental Hygiene and Operatory Room,A room for dental hygiene and dental procedures.
13-51 64 15,Dental Hygiene Room,A room dedicated to dental hygiene services.
13-51 64 17,Dental Porcelain Room,A room for fabricating dental prosthetics and porcelain work.
13-51 64 19,Dental Prosthetics Laboratory,A laboratory for creating dental prosthetics and appliances.
13-51 64 21,Dental Screening Room,A room for initial dental screening and evaluation.
13-51 64 23,Dental Self Preparation Area,A space for patients to prepare for dental procedures.
13-51 64 25,"Dental Treatment t Room, Mini Laboratory",A treatment room with a mini-laboratory for dental procedures.
13-51 64 27,Dental Treatment Room,A standard dental treatment room for general procedures.
13-51 64 29,"Dental Treatment Room, Conscious Sedation Support",A treatment room for dental procedures requiring conscious sedation.
13-51 64 31,"Dental Treatment Room, Endodontics",A treatment room for endodontic (root canal) procedures.
13-51 64 33,"Dental Treatment Room, Orthodontics",A treatment room for orthodontic procedures.
13-51 64 35,"Dental Treatment Room, Pediatrics",A treatment room for pediatric dental care.
13-51 64 37,"Dental Treatment Room, Periodontics",A treatment room for periodontal (gum) procedures.
13-51 64 39,"Dental Treatment Room, Prosthodontics",A treatment room for prosthodontic (denture) procedures.
13-51 64 41,Dental X-Ray Room,A room dedicated to dental X-ray imaging.
13-51 64 43,Instrument Preparation and Sterilization Room,A room for preparing and sterilizing dental instruments.
13-51 64 45,Maxillo-Facial Laboratory,A laboratory for maxillofacial (jaw and face) prosthetics.
13-51 64 47,Maxillo-Facial Treatment Room,A treatment room for maxillofacial procedures.
13-51 64 49,Oral Pathology Laboratory,A laboratory for oral pathology research and analysis.
13-51 64 51,Oral Surgery Residency Room,A room for oral surgery residency training.
13-51 64 53,Oral Surgery Room,A treatment room for oral surgery procedures.
13-51 64 55,Panoramic Dental X-Ray Room,A room for panoramic dental X-ray imaging.
13-51 64 57,Dental X-Ray Support Room,A support room for dental X-ray imaging.
13-51 67 00,Medical Research and Development Spaces,"Spaces for medical research and development, including laboratories and animal holding areas."
13-51 67 11,Research Animal Recovery Area,A recovery area for research animals.
13-51 67 13,"Barrier Suite, Procedure Laboratory",A laboratory for conducting procedures in a barrier-controlled environment.
13-51 67 15,Biomedical Research BSL3 Suite Tissue Culture Room,A tissue culture room for biomedical research at Biosafety Level 3.
13-51 67 17,Biomedical Research Tissue Culture Room,A general tissue culture room for biomedical research.
13-51 67 18,"Laboratory, Research, Biochemistry",A biochemistry research laboratory.
13-51 67 19,Biosafety Level 3 Laboratory,A Biosafety Level 3 laboratory for infectious disease research.
13-51 67 21,"BSL3 Infectious Disease Suite, Procedure Laboratory",A procedure laboratory for a Biosafety Level 3 infectious disease suite.
13-51 67 23,BSL3 Procedure Room,A procedure room for a Biosafety Level 3 infectious disease suite.
13-51 67 25,Environmental Suite Infectious Disease Procedure Laboratory,A procedure laboratory for an environmental infectious disease suite.
13-51 67 27,Research Infectious Disease Animal Holding Area,An animal holding area for infectious disease research.
13-51 67 29,Research Veterinary Radiography Control Room,A control room for veterinary radiography research.
13-51 67 31,Research and Development Machine Shop,nan
13-51 67 33,Research Veterinary Radiography Procedure Room,A room used for veterinary radiography procedures in a research facility.
13-51 67 35,Research Diagnostic Laboratory,A laboratory used for diagnostic research in a research facility.
13-51 67 37,Research NMR Room,A room used for nuclear magnetic resonance (NMR) research in a research facility.
13-51 67 39,Research Procedure Laboratory,A laboratory used for research procedures in a research facility.
13-51 67 41,"Research Veterinary Surgical Suite, Animal Preparation Room",A room used for animal preparation in a veterinary surgical suite in a research facility.
13-51 67 43,Research Veterinary BSL3 Infectious Disease Suite Holding Room,A holding room for a veterinary BSL3 infectious disease suite in a research facility.
13-51 67 45,Research Veterinary Barrier Suite Holding Room,A holding room for a veterinary barrier suite in a research facility.
13-51 67 47,Research Veterinary Chemical/Radioisotope Suite Holding Room,A holding room for a veterinary chemical/radioisotope suite in a research facility.
13-51 67 49,Research Veterinary Environmental Suite Holding Room,A holding room for a veterinary environmental suite in a research facility.
13-51 67 51,Research Veterinary Quarantine Holding Room,A holding room for a veterinary quarantine area in a research facility.
13-55 15 00,Trading Spaces,Spaces used for trading or exchanging goods or services.
13-57 13 15-8,Table Bussing Station,A station for bussing or clearing tables in a food service or dining area.
13-61 17 00,Spaces for Protection from Violence,Spaces designed to protect occupants from violence or other threats.
14-34 11 27,Summit,"A high point or peak, such as a mountain summit."
21-01 90 30-1,Anchor Tiebacks,Anchors or tiebacks used to stabilize or support a structure.
21-01 90 30-2,Cofferdams,A temporary barrier or enclosure used to keep water out of a construction site.
21-01 90 30-3,Cribbing and Walers,Wooden or metal supports used to brace or reinforce a structure.
21-01 90 30-4,Ground Freezing,The process of freezing soil to improve its stability or bearing capacity.
21-01 90 30-5,Slurry Walls,A wall or barrier made of a slurry mixture used to contain or control water.
21-01 90 40,Soil Treatment,The treatment or modification of soil to improve its properties.
21-02 00 00,Shell,The exterior shell or envelope of a building.
21-02 20 80-1,Exterior Fixed Grilles and Screens,Fixed exterior grilles or screens used for ventilation or security.
21-02 20 80-2,Exterior Opening Protection Devices,Exterior devices used to protect openings from weather or intruders.
21-02 20 80-3,Exterior Balcony Walls and Railings,Exterior walls and railings surrounding a balcony or deck.
21-03 10 30-6,Interior Panel Doors,Interior doors that are not standard panel doors.
21-03 10 30-7,Interior Special Function Doors,"Interior doors with specialized functions, such as fire-rated or security doors."
21-03 10 30-8,Interior Access Doors and Panels,Interior access doors or panels used for maintenance or inspection.
21-03 10 30-9,Interior Door Supplementary Components,"Supplementary components for interior doors, such as hardware or frames."
21-04 20 20,Sanitary Drainage,The system for collecting and disposing of sanitary waste from a building.
21-04 20 20-1,Sanitary Sewerage Equipment,"Equipment used in a sanitary sewerage system, such as pumps or valves."
21-04 20 20-2,Sanitary Sewerage Piping,Piping used to convey sanitary waste from a building.
21-04 40 10-1,Water-Based Fire-Suppression,Systems used to suppress or extinguish fires using water-based methods.
21-04 40 10-2,Fire-Extinguishing,Systems used to extinguish fires using non-water-based methods.
21-04 60 30-2,Electronic Digital Systems,Electronic digital systems used for building automation or control.
21-06 10 20-2,Space Frames,Structural framing systems that use a three-dimensional grid or lattice.
21-06 10 20-3,Geodesic Structures,Structures based on the principles of geodesic design.
21-06 10 20-4,Manufacturer-Engineered Structures,Structures that are engineered and manufactured off-site.
21-06 10 20-5,Manufactured Canopies,Prefabricated canopy structures installed on-site.
21-07 00 00,Sitework,The work performed on a construction site to prepare the land for building.
21-07 10 00,Site Preparation,"The initial steps in site preparation, such as clearing vegetation or debris."
21-07 10 10,Site Clearing,"The removal of vegetation, topsoil, or other materials from a construction site."
21-07 20 30-1,Pedestrian Pavement,"Paved surfaces for pedestrian traffic, such as sidewalks or plazas."
21-07 20 30-2,Pedestrian Pavement Curbs and Gutters,"Curbs, gutters, or other features associated with pedestrian pavement."
21-07 30 30-4,Site Storm Water Drains,Drainage systems used to manage stormwater runoff on a construction site.
22-00 31 25-3,Existing Metals Information,Information about existing metal components or systems in a building.
22-00 31 25-4,"Existing Wood, Plastics, and Composites Information","Information about existing wood, plastic, or composite materials in a building."
22-00 31 25-5,Existing Thermal and Moisture Protection Information,Information about existing thermal or moisture protection systems in a building.
22-00 31 26,Existing Hazardous Material Information,Information about hazardous materials present in an existing building.
22-00 31 26-1,Existing Asbestos Information,Information about the presence of asbestos in an existing building.
22-00 31 26-2,Existing Lead Information,Information about the presence of lead in an existing building.
22-00 31 26-3,Existing Polychlorinate Biphenyl Information,Information about existing polychlorinated biphenyls (PCBs) in a building or site.
22-00 31 26-4,Existing Mold Information,Information about existing mold in a building or site.
22-00 31 26-5,Existing Hazardous Waste Drum Information,Information about existing hazardous waste drums in a building or site.
22-00 31 31,Geophysical Data,"Data from geophysical investigations, such as surveys of the Earth's physical properties."
22-00 31 31-1,Seismic Investigations Information,"Information from seismic investigations, which use vibrations to study the subsurface."
22-00 31 31-2,Gravity Investigations Information,"Information from gravity investigations, which measure variations in the Earth's gravitational field."
22-00 31 31-3,Magnetic Investigations Information,"Information from magnetic investigations, which measure variations in the Earth's magnetic field."
22-00 31 31-4,Electromagnetic Investigations Information,"Information from electromagnetic investigations, which use electromagnetic fields to study the subsurface."
22-00 31 31-5,Electrical Resistivity Investigations Information,"Information from electrical resistivity investigations, which measure the resistance of the subsurface to electric current."
22-00 31 31-6,Magnetotelluric Investigations Information,"Information from magnetotelluric investigations, which use natural electromagnetic fields to study the subsurface."
22-00 31 32,Geotechnical Data,"Data from geotechnical investigations, such as soil and rock testing."
22-00 31 32-1,Subsurface Drilling and Sampling Information,"Information from subsurface drilling and sampling, used to characterize the soil and rock conditions."
22-00 31 32-2,Material Testing Information,"Information from material testing, such as laboratory analysis of soil and rock samples."
22-00 31 32-3,Exploratory Excavation Information,"Information from exploratory excavations, used to directly observe subsurface conditions."
22-00 31 32-4,Geotechnical Monitoring Information,"Information from geotechnical monitoring, such as measurements of soil and rock behavior over time."
22-00 31 43,Permit Application,Documents required to apply for permits related to a construction project.
22-00 31 46,Permits,"Permits required for a construction project, such as building, zoning, or environmental permits."
22-00 40 00,Procurement Forms and Supplements,Forms and supplemental documents used in the procurement process for a construction project.
22-00 41 00,Bid Forms,"Forms used to submit bids for a construction project, typically a single-prime or multiple-prime contract."
22-00 41 13,Bid Form - Stipulated Sum (Single-Prime Contract),Bid form for a stipulated sum (fixed price) single-prime contract.
22-00 41 16,Bid Form - Stipulated Sum (Multiple-Prime Contract),Bid form for a stipulated sum (fixed price) multiple-prime contract.
22-00 41 23,Bid Form - Construction Management (Single-Prime Contract),Bid form for a construction management single-prime contract.
22-00 41 26,Bid Form - Construction Management (Multiple-Prime Contract),Bid form for a construction management multiple-prime contract.
22-00 41 33,Bid Form - Cost-Plus-Fee (Single-Prime Contract),Bid form for a cost-plus-fee single-prime contract.
22-00 41 36,Bid Form - Cost-Plus-Fee (Multiple-Prime Contract),Bid form for a cost-plus-fee multiple-prime contract.
22-00 41 43,Bid Form - Unit Price (Single-Prime Contract),Bid form for a unit price single-prime contract.
22-00 41 46,Bid Form - Unit Price (Multiple-Prime Contract),Bid form for a unit price multiple-prime contract.
22-00 41 53,Bid Form - Design/Build (Single-Prime Contract),Bid form for a design/build single-prime contract.
22-00 41 56,Bid Form - Design/Build (Multiple-Prime Contract),Bid form for a design/build multiple-prime contract.
22-00 41 63,Bid Form - Purchase Contract,Bid form for a purchase contract.
22-00 42 00,Proposal Forms,"Forms used to submit proposals for a construction project, typically a single-prime or multiple-prime contract."
22-00 42 13,Proposal Form - Stipulated Sum (Single-Prime Contract),Proposal form for a stipulated sum (fixed price) single-prime contract.
22-00 42 16,Proposal Form - Stipulated Sum (Multiple-Prime Contract),Proposal form for a stipulated sum (fixed price) multiple-prime contract.
22-00 42 23,Proposal Form - Construction Management (Single-Prime Contract),Proposal form for a construction management single-prime contract.
22-00 42 26,Proposal Form - Construction Management (Multiple-Prime Contract),Proposal form for a construction management multiple-prime contract.
22-00 42 33,Proposal Form - Cost-Plus-Fee (Single-Prime Contract),Proposal form for a cost-plus-fee single-prime contract.
22-00 42 36,Proposal Form - Cost-Plus-Fee (Multiple-Prime Contract),Proposal form for a cost-plus-fee multiple-prime contract.
22-00 42 43,Proposal Form - Unit Price (Single-Prime Contract),Proposal form for a unit price single-prime contract.
22-00 42 46,Proposal Form - Unit Price (Multiple-Prime Contract),Proposal form for a unit price multiple-prime contract.
22-00 42 53,Proposal Form - Design/Build (Single-Prime Contract),Proposal form for a design/build single-prime contract.
22-00 42 56,Proposal Form - Design/Build (Multiple-Prime Contract),Proposal form for a design/build multiple-prime contract.
22-00 42 63,Proposal Form - Purchase Contract,Proposal form for a purchase contract.
22-00 42 73,Proposal Form - Performance Contract,Proposal form for a performance contract.
22-00 43 00,Procurement Form Supplements,Supplemental documents used in the procurement process for a construction project.
22-00 52 73,Agreement Form - Performance Contract,Agreement form for a performance contract.
22-00 93 53,Record Proposal Requests,Records of requests for proposals during a construction project.
22-01 26 13,Requests for Information,Requests for information (RFIs) during a construction project.
22-01 26 19,Clarification Notices,Notices of clarification during a construction project.
22-01 26 33,Minor Changes in the Work,Minor changes to the work during a construction project.
22-01 26 36,Supplemental Instructions,Supplemental instructions during a construction project.
22-01 26 39,Field Orders,nan
22-01 26 43,Amendments,nan
22-01 26 46,Construction Change Directives,nan
22-01 26 49,Work Change Directives,nan
22-01 26 53,Proposal Requests,nan
22-01 26 54,Proposal Worksheet Summaries,nan
22-01 26 57,Change Order Requests,nan
22-01 26 63,Change Orders,nan
22-01 29 00,Payment Procedures,nan
22-01 29 73,Schedule of Values,nan
22-01 29 76,Progress Payment Procedures,nan
22-01 29 83,Payment Procedures for Testing Laboratory Services,nan
22-01 30 00,Administrative Requirements,nan
22-01 31 00,Project Management and Coordination,nan
22-01 31 13,Project Coordination,nan
22-01 31 14,Facility Services Coordination,nan
22-01 31 16,Multiple Contract Coordination,nan
22-01 31 19,Project Meetings,nan
22-01 31 19-1,Preconstruction Meetings,nan
22-01 31 19-2,Site Mobilization Meetings,nan
22-01 31 19-3,Progress Meetings,nan
22-01 31 19-4,Preinstallation Meetings,nan
22-01 31 23,Project Web Site,nan
22-01 31 26,Electronic Communication Protocols,nan
22-01 32 00,Construction Progress Documentation,nan
22-01 32 13,Scheduling of Work,nan
22-01 32 16,Construction Progress Schedule,nan
22-01 32 16-1,Network Analysis Schedules,nan
22-01 32 19,Submittals Schedule,nan
22-01 32 23,Survey and Layout Data,nan
22-01 32 26,Construction Progress Reporting,nan
22-01 32 29,Periodic Work Observation,nan
22-01 32 33,Photographic Documentation,nan
22-01 32 36,Video Monitoring and Documentation,nan
22-01 32 43,Purchase Order Tracking,nan
22-01 33 00,Submittal Procedures,nan
22-01 33 13,Certificates,nan
22-01 33 16,Design Data,nan
22-01 33 19,Field Test Reporting,nan
22-01 33 23,"Shop Drawings, Product Data, and Samples",nan
22-01 33 26,Source Quality Control Reporting,nan
22-01 33 29,Sustainable Design Reporting,nan
22-01 33 29-1,Material Cost Summary Form,nan
22-01 33 29-2,Wood-Containing Product List,nan
22-01 33 29-3,Metal-Containing Product List,nan
22-01 33 29-4,Material Content Form,nan
22-01 33 29-5,New Product Source Form,nan
22-01 33 29-6,Reused Product Form,nan
22-01 33 29-7,Prohibited Content Installer Certification,nan
22-01 35 00,Special Procedures,nan
22-02 21 13-1,Boundary and Survey Markers,Markers used to define property boundaries and survey locations
22-02 21 13-2,Archaeological and Historic Surveys,Investigations of archaeological and historic sites
22-02 21 16,Measured Drawings,Detailed drawings of existing conditions and measurements
22-02 21 19,Utilities Surveys,Surveys of utility infrastructure and services
22-02 22 00,Existing Conditions Assessment,Assessments of a building or site's existing conditions
22-02 22 13,Movement and Vibration Assessment,Evaluations of movement and vibration in a building or site
22-02 22 16,Acoustic Assessment,Assessments of acoustic performance and noise levels
22-02 22 19,Traffic Assessment,Evaluations of traffic patterns and impacts
22-02 22 23,Accessibility Assessment,Assessments of accessibility for people with disabilities
22-02 24 00,Environmental Assessment,Evaluations of environmental conditions and impacts
22-02 24 13,Natural Environment Assessment,Assessments of the natural environment and ecosystems
22-02 24 13-1,Air Assessment,Evaluations of air quality and emissions
22-02 24 13-2,Water Assessment,Assessments of water quality and resources
22-02 24 13-3,Land Assessment,Evaluations of land conditions and contamination
22-02 24 23,Chemical Sampling and Analysis of Soils,Sampling and analysis of soil chemical composition
22-02 24 43,Transboundary and Global Environmental Aspects Assessment,Assessments of transboundary and global environmental impacts
22-02 25 00,Existing Material Assessment,Evaluations of existing building materials and components
22-02 25 16,Existing Concrete Assessment,Assessments of existing concrete structures and conditions
22-02 25 16-1,Concrete Assessment Drilling,Investigations involving drilling into concrete
22-02 25 19,Existing Masonry Assessment,Assessments of existing masonry structures and conditions
22-02 25 19-1,Masonry Assessment Drilling,Investigations involving drilling into masonry
22-02 25 23,Existing Metals Assessment,Assessments of existing metal structures and components
22-02 25 23-1,Welding Investigations,Investigations involving welding of existing metals
22-02 25 26,"Existing Wood, Plastics, and Composites Assessment","Assessments of existing wood, plastics, and composite materials"
22-02 25 29,Existing Thermal and Moisture Protection Assessment,Assessments of existing thermal and moisture protection systems
22-02 25 29-1,Waterproofing Investigations,Investigations of waterproofing systems and conditions
22-02 25 29-2,Roofing Investigations,Investigations of roofing systems and conditions
22-02 26 00,Hazardous Material Assessment,Evaluations of hazardous materials in a building or site
22-02 26 23,Asbestos Assessment,Assessments of asbestos-containing materials
22-02 26 26,Lead Assessment,Assessments of lead-based paint and other lead-containing materials
22-02 26 29,Polychlorinated Biphenyl Assessment,Assessments of polychlorinated biphenyls (PCBs)
22-02 26 33,Biological Assessment,"Evaluations of biological hazards, such as mold"
22-02 26 33-1,Mold Assessment,Assessments of mold and other biological contaminants
