OmniClass_Code,OmniClass_Title,Description
11-13 11 33,Detention Center,A facility that houses individuals who have been detained or incarcerated by the criminal justice system.
11-13 11 33-1,Prison,A facility that houses adult inmates who have been convicted of crimes and sentenced to serve time.
11-13 11 33-2,Jail,A facility that houses individuals who have been arrested and are awaiting trial or sentencing.
11-13 11 33-3,Immigration Detention Center,A facility that houses individuals who have been detained by immigration authorities.
11-13 11 33-4,Juvenile Detention Center,A facility that houses juveniles who have been detained or incarcerated by the criminal justice system.
11-13 11 34,Embassy,A facility that houses a country's diplomatic mission and provides services to its citizens abroad.
11-13 11 37,"Public Grounds Fencing, Gate, or Guard Tower","Fencing, gates, or guard towers that provide security and control access to public grounds."
11-13 21 00,Military Facility,"A facility that houses military operations, administration, and personnel."
11-13 21 11,Military Headquarters,The headquarters of the United States Department of Defense.
11-13 21 11-1,Pentagon,A facility that houses administrative functions and support services for the military.
11-13 21 12,Administrative Military Facility,A facility that provides training and education for military personnel.
11-13 21 14,Military Training Facility,A facility that conducts research and development for military technology and equipment.
11-13 21 17,Military Research Facility,A facility that serves as a base of operations for military forces.
11-13 21 21,Military Base,A temporary or mobile facility used by the military for field operations.
11-13 21 24,Military Field Facility,A facility that houses multiple military services or branches.
11-13 21 27,Joint Services Facility,A facility that provides secure delivery and distribution of military supplies and equipment.
11-13 21 31,Remote Delivery Facility,"A facility that supports military ground operations, such as storage or maintenance."
11-13 21 34,Military Ground Operational Facility Other Than Building,"A facility that provides support services for military operations, such as housing or logistics."
11-13 21 37,Military Operational Support Facility Other Than Building,A facility that provides locker rooms and changing areas for military personnel.
11-13 21 41,Military Locker Room Facility,A facility that provides support services for military exchanges and retail operations.
11-13 21 44,Military Exchange Support Facility,A facility that provides storage and distribution for military exchange inventory.
11-13 21 47,Military Exchange Warehouse,A facility that provides simulation and training environments for military personnel.
11-13 21 51,Simulation Facility,"A facility that provides support services for military training, such as classrooms or simulators."
11-13 21 54,Military Training Support Facility,A facility that provides outdoor training and exercise areas for military personnel.
11-13 21 57,Military Training Facility Other Than Building,"An area used for military training, maneuvers, and exercises."
11-13 21 61,"Impact, Maneuver, and Training Area",A facility that provides a range for small arms training and qualification.
11-13 21 64,Small Arms Range,A facility that provides a range for weapons testing and training.
11-13 21 67,Weapon Range,A facility that provides a range for team and unit-level training and exercises.
11-13 21 71,Team and Unit Range,A facility that provides a range for explosives and flame-based training and testing.
11-13 21 74,Explosives and Flame Range,A facility that provides maintenance and repair services for military equipment and vehicles.
11-13 21 77,Military Maintenance Facility,A facility that provides maintenance and repair services for guided missiles.
11-13 21 77-1,Guided Missile Maintenance Facility,A facility that provides maintenance and repair services for weapons and spare parts.
11-13 21 77-2,Weapons and Spares Maintenance Facility,"A facility that provides maintenance and repair services for ammunition, explosives, and toxic materials."
11-13 21 77-3,"Ammunition, Explosives, and Toxic Maintenance Facility",A facility that provides maintenance and repair services for miscellaneous military items and equipment.
11-13 21 77-4,Miscellaneous Items and Equipment Maintenance Facility,A facility that provides maintenance and repair services for installation infrastructure and operations.
11-13 21 77-5,Installation Repair and Operation Maintenance Facility,"A facility that provides services and support for public welfare, such as shelters or food banks."
11-13 27 00,Public Welfare Facility,A facility that provides temporary housing and support services for individuals experiencing homelessness.
11-13 27 11,Homeless Shelter,A facility that collects and distributes food and other resources to those in need.
11-13 27 14,Food Bank,A facility that provides housing and support services for forestry workers and personnel.
11-13 27 17,Forestry Guard Station,A facility that provides shelter and protection in the event of an air raid or nuclear fallout.
11-13 27 21,Air Raid/Fallout Shelter,A facility that provides temporary housing or shelter for various personnel or emergency situations.
11-15 11 58-2,Wildlife Management Area,A protected area of land managed for the conservation of wildlife and their habitats.
11-15 11 98,Outdoor Multipurpose Recreation Facility,A multi-purpose outdoor recreation facility that can be used for various activities.
11-15 21 00,Indoor Recreation Facility,A facility designed for indoor recreational activities and sports.
11-15 21 09,Indoor Team Sports Facility,"A facility designed for indoor team sports like basketball, volleyball, etc."
11-15 21 09-1,Indoor Football Field,An indoor facility with a playing field for football.
11-15 21 09-2,Indoor Soccer Field,An indoor facility with a playing field for soccer.
11-15 21 09-3,Indoor Baseball or Softball Diamond,An indoor facility with a baseball or softball diamond.
11-15 21 11,Indoor Team Court Sports Facility,A facility with indoor courts for team sports like basketball and volleyball.
11-15 21 11-1,Indoor Basketball Court,An indoor facility with a basketball court.
11-15 21 11-2,Indoor Volleyball Court,An indoor facility with a volleyball court.
11-15 21 14,Indoor Ice Skating Rink,An indoor facility with an ice skating rink.
11-15 21 21,Indoor Water Recreation Facility,A facility with indoor water recreation amenities like pools and water parks.
11-15 21 21-1,Indoor Swimming Pool,An indoor facility with a swimming pool.
11-15 21 21-2,Indoor High Diving Facility,An indoor facility with high diving platforms.
11-15 21 21-3,Indoor Water Park,An indoor water park with various water-based attractions.
11-15 21 24,Indoor Racquet Sports Facility,A facility with indoor courts for racquet sports like tennis and squash.
11-15 21 24-1,Indoor Tennis Facility,An indoor facility with tennis courts.
11-15 21 24-2,Indoor Squash Facility,An indoor facility with squash courts.
11-15 21 24-3,Indoor Racquetball Facility,An indoor facility with racquetball courts.
11-15 21 28,Indoor Sports Training Facility,A facility designed for indoor sports training and conditioning.
11-15 21 31,Indoor Individual Athletic Recreation Facility,"A facility for individual athletic recreation, such as fitness centers and martial arts studios."
11-15 21 31-1,Fitness and Training Facility,A facility for fitness training and exercise.
11-15 21 31-2,Martial Arts Facility,A facility for martial arts practice and training.
11-15 21 31-3,Boxing Facility,A facility for boxing and other combat sports.
11-15 21 31-4,Gymnastics Facility,A facility for gymnastics and related activities.
11-15 21 37,Non-Athletic Indoor Recreation Facility,"A facility for non-athletic indoor recreation, such as bowling alleys and billiards."
11-15 21 37-1,Bowling Alley,An indoor facility with bowling lanes.
11-15 21 37-2,Billiards Facility,An indoor facility with billiards tables.
11-15 21 37-3,Amusement Arcade,An indoor facility with amusement arcade games.
11-15 21 37-4,Social Club Facility,An indoor facility for social clubs and activities.
11-15 21 98,Indoor Multipurpose Recreation Facility,A multi-purpose indoor recreation facility that can be used for various activities.
11-16 00 00,Housing Facility,"A facility designed for residential living, including single-family and multi-family homes."
11-16 11 00,Single Family Residence,"A single-family detached residence, such as a house."
11-16 11 11,Studio Family Residence,"A single-room residential unit, such as a studio apartment."
11-16 11 14,One-Bedroom Family Residence,A single-family residence with one bedroom.
11-16 11 17,Multiple Bedroom Family Residence,A single-family residence with multiple bedrooms.
11-16 15 00,Movable Housing Facility,"A facility for movable or temporary housing, such as mobile homes and trailers."
11-16 15 11,Family Housing Trailer Site,A site for locating family housing trailers or mobile homes.
11-16 15 13,Family Housing Trailer/Relocatable,A family housing trailer or relocatable unit.
11-16 21 00,Multiple Family Residences,"A facility with multiple residential units, such as an apartment building or condominium complex."
11-16 21 11,Duplex,"A two-unit residential building, such as a duplex."
11-16 21 14,Co-housing Multiple Family Residence,"A multi-family residence with a shared living arrangement, such as co-housing."
11-16 21 17,Small Complex Multiple Family Residence,"A small multi-family residence complex, such as a townhouse or triplex."
11-16 21 21,Large Complex Multiple Family Residence,"A large multi-family residence complex, such as a high-rise apartment building."
11-16 21 25,Government Subsidized Residence,A multi-family residence with government subsidies or assistance.
11-16 21 29,LIHTC Tax Credit Housing,A multi-family residence with low-income housing tax credits.
11-16 27 00,Dormitory,A facility designed for dormitory-style student housing.
11-16 27 11,Single-Gender Dormitory,A dormitory facility for single-gender occupancy.
11-16 27 14,Mixed-Gender Dormitory,A dormitory facility for mixed-gender occupancy.
11-16 27 18,Student Apartment,A dormitory-style apartment for students.
11-16 27 22,Fraternity/Sorority House,A building used as a residence for members of a fraternity or sorority.
11-16 31 00,Special Care Residence,A residential facility that provides specialized care for individuals with special needs.
11-16 31 14,Physical Disability Care Residence,A residential facility that provides care and support for individuals with physical disabilities.
11-16 31 17,Behavioral Disability Care Residence,A residential facility that provides care and support for individuals with behavioral disabilities.
11-16 42 00,Senior Housing,"Housing designed for older adults, including independent living and assisted living options."
11-16 42 11,Senior Independent Living Residence,A residential facility that provides independent living for older adults.
11-16 42 14,Senior Multiple Family Independent Living Residence,A multi-family residential facility that provides independent living for older adults.
11-16 42 17,Senior Assisted Living Residence,A residential facility that provides assisted living services for older adults.
11-16 42 21,Senior Assisted Living Facility,A facility that provides assisted living services for older adults.
11-17 00 00,Retail Facility,A building or complex used for retail sales and services.
11-17 05 00,Office Showroom,A retail facility that includes a showroom or display area for products.
11-17 07 00,Department Store,A large retail store that offers a wide variety of merchandise across multiple departments.
11-17 09 00,Big Box Retail,"A large retail store that offers a wide range of products, often at discounted prices."
11-17 11 00,Specialty Store,A retail store that specializes in a particular type of product or service.
11-17 11 11,Drug Store,A retail store that primarily sells pharmaceutical and personal care products.
11-17 11 13,Liquor Store,A retail store that primarily sells alcoholic beverages.
11-17 13 00,Garden Center,A retail facility that specializes in the sale of gardening and landscaping supplies.
11-17 15 00,Grocery Store,A retail store that primarily sells food and grocery items.
11-17 17 00,Convenience Store,A small retail store that offers a limited selection of convenience items.
11-17 19 00,Vehicle Related Retail/Commercial,A retail facility that is primarily focused on the sale of vehicles and related products.
11-17 19 11,Auto Auction Facility,A facility where vehicles are auctioned off to buyers.
11-17 19 13,Vehicle Dealership,A retail facility that specializes in the sale of new or used vehicles.
11-17 19 15,Tire Store,A retail store that specializes in the sale of tires and related automotive products.
11-17 21 00,Exchange or Market,A facility that serves as a marketplace or exchange for goods and services.
11-17 21 11,Market,A facility that serves as a marketplace for the sale of various goods and products.
11-17 21 14,Bank,A retail facility that provides banking and financial services.
11-17 21 17,Stock Exchange,A facility that serves as a marketplace for the trading of stocks and securities.
11-17 21 21,Auction House,A facility that hosts auctions for the sale of various goods and products.
11-17 25 00,Mixed Use Retail/Commercial Building,"A building that contains a mix of retail, commercial, and residential spaces."
11-17 25 11,Retail-Office Building,A building that contains a mix of retail and office spaces.
11-17 25 14,Retail-Office-Residential Building,"A building that contains a mix of retail, office, and residential spaces."
11-17 25 17,Retail-Residential Building,A building that contains a mix of retail and residential spaces.
11-17 27 00,Mixed-Commerce Facility,A facility that contains a mix of commercial and retail spaces.
11-17 27 11,Commercial Mall,A large indoor shopping mall that contains multiple retail stores and services.
11-17 27 14,Shopping Center,A large outdoor shopping center that contains multiple retail stores and services.
11-17 27 17,Retail-Pad Building,"A standalone retail building or structure, often located in a commercial or mixed-use development."
11-17 27 20,Street Retail Facility,A retail facility located along a street or in a downtown area.
11-17 27 23,Convenience/Strip Center,A small shopping center that contains a mix of convenience and specialty stores.
11-17 27 26,Clothing Sales Store,A retail store that specializes in the sale of clothing and related accessories.
11-17 27 29,Thrift Shop,A retail store that sells used or donated goods at discounted prices.
11-17 27 32,Neighborhood Center,A small shopping center that serves a local neighborhood or community.
11-17 27 35,Outlet Center,"A retail facility that offers discounted merchandise, often from brand-name manufacturers."
11-17 27 38,Power Center,A large shopping center that contains a mix of big-box and specialty retail stores.
11-17 27 41,Regional Center,A large shopping center that serves a regional market area.
11-17 27 44,Theme/Festival Center,A shopping center or facility that is themed or focused on a particular type of retail experience.
11-21 00 00,Health Care Facility,"A facility that provides medical care and treatment, including hospitals and clinics."
11-21 12 00,Hospital,A facility that provides comprehensive medical care and treatment for a wide range of conditions.
11-21 12 11,General Acute Care Hospital,A small hospital that primarily provides basic medical care and services.
11-21 12 15,Small Primary Care Hospital,A small hospital that serves as a critical access point for medical care in rural or remote areas.
11-25 00 00,Lodging Facility,"A facility that provides temporary accommodation, such as a hotel, motel, or resort."
11-25 12 00,Hotel,A commercial lodging facility that provides rooms for overnight stays.
11-25 12 11,Urban Hotel,"A hotel located in an urban area, typically in a city center."
11-25 12 15,Motel,"A lodging facility that provides rooms for overnight stays, often located along highways."
11-25 12 19,Bed and Breakfast,A small lodging facility that provides rooms and breakfast for guests.
11-25 12 23,Residence Hotel,"A hotel that provides apartment-style accommodations, often for extended stays."
11-25 12 27,Resort Hotel,"A hotel located in a resort area, often with amenities like spas, golf courses, or beaches."
11-25 12 39,All-Suites Lodging,"A lodging facility that provides all-suite accommodations, typically with kitchenettes."
11-25 12 43,Recreational Camp and Trailer Park,A facility that provides camping and trailer sites for recreational use.
11-25 12 47,Emergency Unaccompanied Personnel Housing,"Housing for unaccompanied military personnel, often used for temporary or emergency situations."
11-25 12 51,EUPH Tent Pad,A tent pad or platform for temporary housing of unaccompanied military personnel.
11-25 12 55,Casino Hotel,A hotel that is located within or adjacent to a casino.
11-25 12 59,Convention Hotel,A hotel that is designed to accommodate large conventions or events.
11-25 12 63,Full Service Lodging,A lodging facility that provides a full range of services and amenities.
11-25 12 67,Luxury Lodging,A high-end lodging facility that offers luxury accommodations and services.
11-25 12 71,Mixed Use Lodging,"A lodging facility that combines residential, commercial, and/or recreational uses."
11-25 55 00,Animal Lodging Facility,"A facility that provides temporary accommodation for animals, such as a kennel or stable."
11-25 55 12,Kennel,"A facility that provides boarding and care for domestic animals, such as dogs or cats."
11-25 55 15,Stable,A facility that provides boarding and care for horses or other livestock.
11-27 00 00,Office Facility,A building or facility used for office or administrative purposes.
11-27 12 00,Administrative Building,"A building used for administrative functions, such as a government office or agency."
11-27 12 11,Vocational Training Facility,A facility that provides vocational or technical training programs.
11-27 12 15,Family Service Center,"A facility that provides services and support for families, such as a community center."
11-27 15 00,Military Headquarters Office,An office building that serves as the headquarters for a military unit or organization.
11-27 15 11,Small Unit Headquarters Office Building,A small office building that serves as the headquarters for a military unit or organization.
11-27 15 15,Large Unit Headquarters Office Building,A large office building that serves as the headquarters for a military unit or organization.
11-27 18 00,Headquarters Office,An office building that serves as the headquarters for a company or organization.
11-27 22 00,Regional Administrative Office,"An office building that serves a regional administrative function, such as a state or provincial office."
11-27 22 11,Field Office,An office building that serves as a field office or satellite location for a larger organization.
11-27 25 00,Multi-tenant Office Building,A multi-tenant office building that houses multiple businesses or organizations.
11-27 25 11,Office-Industrial Building,"A building that combines office and industrial uses, such as a research and development facility."
11-27 25 15,Office-Multi-Family Residence Building,"A building that combines office and residential uses, such as a mixed-use development."
11-27 25 19,Office-Retail Building,"A building that combines office and retail uses, such as a commercial office building with ground-floor retail."
11-27 25 23,Office-Retail-Industrial Building,"A building that combines office, retail, and industrial uses, such as a mixed-use development."
11-27 25 27,Office-Retail-Multi-Family Residence Building,"A building that combines office, retail, and residential uses, such as a mixed-use development."
11-27 28 00,Business Park,A campus-like development that houses multiple office or commercial buildings.
11-27 32 00,Flex Space Office Building,"A flexible office building that can accommodate a variety of uses, such as co-working spaces or incubators."
11-27 35 00,Creative/Loft Office Building,An office building that is designed to provide a creative or loft-like work environment.
11-27 38 00,Office Building,A building that is primarily used for office or administrative purposes.
11-27 38 11,Commercial Office Building,A commercial office building that is owned and operated by a private company or organization.
11-27 38 14,Government Office Building,A government-owned office building that houses government agencies or departments.
11-27 38 17,Private Office Building,A privately-owned office building that is leased to multiple tenants.
11-27 42 00,Office/Research and Development Building,"A building that combines office and research and development uses, such as a technology or research park."
11-27 45 00,Office/Warehouse Building,"A building that combines office and warehouse or distribution uses, such as a logistics or distribution center."
11-27 48 00,Underground Administrative Structure,An underground structure that is used for administrative or office purposes.
11-27 48 11,"Administrative Structure, Underground","An underground structure that is used for administrative or office purposes, such as a government bunker."
11-27 48 15,Alternate Joint Communications Center,"An underground structure that serves as an alternate communications center, such as a military command center."
11-27 52 00,"Administrative Structure, Other Than Building","A structure that is used for administrative or office purposes, but is not a building, such as a portable office trailer."
11-27 55 00,Operational Support Building,"A building that provides operational support functions, such as a maintenance or repair facility."
11-27 55 15,Operations Supply Building,A building used to support operations and supply needs.
11-27 55 19,Miscellaneous Operations Support Building,A building used to support miscellaneous operations and support needs.
11-27 55 21,Logistics,A facility for logistics and supply chain management.
11-27 55 22,Logistics Support Building,A building used to support logistics operations.
11-27 55 23,Working Animal Support Building,A building used to support working animals.
11-29 00 00,Research Facility,A facility for conducting scientific research and development.
11-29 12 00,Scientific Research and Development Facility,A facility for conducting scientific research and development in physical sciences.
11-29 12 11,Physical Sciences Research and Development Facility,A facility for conducting research and development in physical sciences.
11-29 12 11-1,Chemical Research Facility,A facility for conducting chemical research and development.
11-29 12 14,Engineering Research and Development Facility,A facility for conducting engineering research and development.
11-29 12 14-1,Computing Research Facility,A facility for conducting computing research and development.
11-29 12 14-2,Nanotechnology Research Facility,A facility for conducting nanotechnology research and development.
11-29 12 14-3,Electronics Research Facility,A facility for conducting electronics research and development.
11-29 12 14-4,Engineering Research Facility,A facility for conducting general engineering research and development.
11-29 12 14-5,Nuclear Research Facility,A facility for conducting nuclear research and development.
11-29 12 18,Life Sciences Research and Development Facility,A facility for conducting life sciences research and development.
11-29 12 18-1,Life Sciences Research Facility,A facility for conducting general life sciences research.
11-29 12 18-2,Biomedical Research Facility,A facility for conducting biomedical research and development.
11-29 12 18-3,Biometrics Research Facility,A facility for conducting biometrics research and development.
11-29 12 18-4,Agricultural Research and Development Facility,A facility for conducting agricultural research and development.
11-29 12 18-5,Forensics Research Facility,A facility for conducting forensics research and development.
11-29 12 18-6,High Hazard Research Facility,A facility for conducting high-hazard research and development.
11-29 12 18-7,Hazardous Materials Containment Research Facility,A facility for conducting research and development on hazardous materials containment.
11-29 12 25,Social and Behavioral Sciences Research and Development Facility,A facility for conducting social and behavioral sciences research and development.
11-29 28 00,Manufacturing Research and Development Facility,A facility for conducting manufacturing research and development.
11-29 28 11,Research Development Test and Evaluation Technical Service Facility,"A facility for conducting research, development, testing, and evaluation of technical services."
11-29 28 15,Food Manufacturing Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of food manufacturing."
11-29 28 19,Beverage and Tobacco Manufacturing Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of beverage and tobacco manufacturing."
11-29 28 23,Textile Mill and Textile Product Manufacturing Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of textile mill and textile product manufacturing."
11-29 28 27,Leather and Allied Product Manufacturing Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of leather and allied product manufacturing."
11-29 28 31,Wood Product Manufacturing Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of wood product manufacturing."
11-29 28 35,"Pulp, Paper, and Paperboard Manufacturing Research Development Test and Evaluation Facility","A facility for conducting research, development, testing, and evaluation of pulp, paper, and paperboard manufacturing."
11-29 28 39,Petroleum and Coal Products Manufacturing Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of petroleum and coal products manufacturing."
11-29 28 43,Chemical Manufacturing Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of chemical manufacturing."
11-29 28 47,Plastics and Rubber Products Manufacturing Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of plastics and rubber products manufacturing."
11-29 28 51,Nonmetallic Mineral Product Manufacturing Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of nonmetallic mineral product manufacturing."
11-29 28 55,Primary Metal Manufacturing Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of primary metal manufacturing."
11-29 28 55-1,Fabricated Metal Product Manufacturing Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of fabricated metal product manufacturing."
11-29 28 55-2,Weapons Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of weapons manufacturing."
11-29 28 55-3,"Ammunition, Explosive, and Toxic Research Development Test and Evaluation Facility","A facility for conducting research, development, testing, and evaluation of ammunition, explosives, and toxic materials manufacturing."
11-29 28 59,Research Development Test and Evaluation Range Facilities,"A facility for conducting research, development, testing, and evaluation of range facilities."
11-29 28 59-1,Machinery Manufacturing Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of machinery manufacturing."
11-29 28 63,"Propulsion Research Development Test and Evaluation Facility 
(or Engine, Turbine, and Power Transmission Equipment Manufacturing Research Development Test and Evaluation Facility)","A facility for conducting research, development, testing, and evaluation of propulsion systems or engine, turbine, and power transmission equipment manufacturing."
11-29 28 67,Computer and Electronic Product Manufacturing Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of computer and electronic product manufacturing."
11-29 28 71,"Electrical Equipment, Appliance, and Component Manufacturing Research Development Test and Evaluation Facility","A facility for conducting research, development, testing, and evaluation of electrical equipment, appliance, and component manufacturing."
11-29 28 71-1,Transportation Equipment Manufacturing Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of transportation equipment manufacturing."
11-29 28 71-2,Aircraft Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of aircraft manufacturing."
11-29 28 71-3,Missile and Space Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of missile and space systems."
11-29 28 71-4,Ship and Marine Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of ship and marine systems."
11-29 28 71-5,Tank and Automotive Research Development Test and Evaluation Facility,"A facility for conducting research, development, testing, and evaluation of tank and automotive systems."
11-29 28 71-6,Underwater Equipment Research Development Test and Evaluation Facility,"A facility for research, development, testing, and evaluation of underwater equipment."
11-35 00 00,Production Facility,A facility for the production of goods and materials.
11-35 11 00,Manufacturing Facility,A facility for the manufacturing of products.
11-35 11 11,Pharmaceutical or Biotechnology Manufacturing Facility,A facility for the manufacturing of pharmaceutical or biotechnology products.
11-35 11 14,Food Processing and Manufacturing Facility,A facility for the processing and manufacturing of food products.
11-35 11 17,Beverage or Tobacco Manufacturing Facility,A facility for the manufacturing of beverages or tobacco products.
11-35 11 21,Textile Manufacturing Facility,A facility for the manufacturing of textile products.
11-35 11 23,Leather and Allied Industry Manufacturing Facility,A facility for the manufacturing of leather and allied products.
11-35 11 26,Wood Product Manufacturing Facility,A facility for the manufacturing of wood products.
11-35 11 29,Paper Manufacturing Facility,A facility for the manufacturing of paper products.
11-35 11 32,Printing Facility,A facility for the printing of materials.
11-35 11 35,Petroleum or Coal Products Manufacturing Facility,A facility for the manufacturing of petroleum or coal products.
11-35 11 38,Chemical Manufacturing Facility,A facility for the manufacturing of chemical products.
11-35 11 41,"Ammunition, Explosives, and Toxics Production Facility","A facility for the production of ammunition, explosives, and toxic materials."
11-35 11 44,Plastics or Rubber Manufacturing Facility,A facility for the manufacturing of plastics or rubber products.
11-35 11 47,Nonmetallic Mineral Product Manufacturing Facility,A facility for the manufacturing of nonmetallic mineral products.
11-35 11 51,Cement/Rock/Gravel Plant,"A facility for the production of cement, rock, and gravel."
11-35 11 53,Primary Metal Manufacturing Facility,A facility for the manufacturing of primary metal products.
11-35 11 56,Fabricated Metal Product Manufacturing Facility,A facility for the manufacturing of fabricated metal products.
11-35 11 59,Machinery Manufacturing Facility,A facility for the manufacturing of machinery.
11-35 11 62,Guided Missile Production Facility,A facility for the production of guided missiles.
11-35 11 65,Weapons and Spares Production Facility,A facility for the production of weapons and spare parts.
11-35 11 68,Computer or Electronics Manufacturing Facility,A facility for the manufacturing of computers or electronic products.
11-35 11 71,Electrical Equipment or Appliance Manufacturing Facility,A facility for the manufacturing of electrical equipment or appliances.
11-35 11 74,Transportation Manufacturing Facility,A facility for the manufacturing of transportation equipment.
11-35 11 77,Furniture Manufacturing Facility,A facility for the manufacturing of furniture.
11-35 11 81,Light Manufacturing Facility,A facility for the manufacturing of a variety of light products.
11-35 11 83,Heavy Manufacturing Facility,A facility for the manufacturing of a variety of heavy products.
11-35 11 86,High-Tech Manufacturing Facility,A facility for the manufacturing of high-tech products.
11-35 11 89,Installation Maintenance and Repair Production Facility,"A facility for the installation, maintenance, and repair of products."
11-35 15 00,Agricultural Facility,A facility for agricultural production and processing.
11-35 15 11,Agribusiness Facility,A facility for agribusiness operations.
11-35 15 15,Crop Farm,A facility for the production of crops.
11-35 15 19,Ornamental Crop Farm,A facility for the production of ornamental crops.
