number,title,mf_number,explanation,parent_number
D2060.30,Medical Nitrous Oxide Operating Pressure,01 86 16,Medical nitrous oxide pressure requirements,D2060
D2060.30,Medical Oxygen Operating Pressure,01 86 16,Medical oxygen pressure requirements,D2060

D2060.40,Chemical-Waste Systems Performance Requirements,01 86 16,Performance requirements for chemical waste systems,D2060
D2060.40,Single-Wall Piping Pressure Rating,01 86 16,Single-wall piping pressure requirements,D2060
D2060.40,Double-Containment Piping Pressure Rating,01 86 16,Double-containment piping pressure requirements,D2060
D2060.40,Field-Fabrication Containment-Piping Pressure Rating,01 86 16,Field-fabrication containment piping requirements,D2060

D2060.50,Processed Water Systems Performance Requirements,01 86 16,Performance requirements for processed water systems,D2060
D2060.50,Deionized-Water Piping Operating Pressure,01 86 16,Deionized water piping pressure requirements,D2060
D2060.50,Distilled-Water Piping Operating Pressure,01 86 16,Distilled water piping pressure requirements,D2060
D2060.50,Reagent-Water Piping Operating Pressure,01 86 16,Reagent water piping pressure requirements,D2060
D2060.50,Reverse-Osmosis-Water Piping Operating Pressure,01 86 16,Reverse osmosis water piping pressure requirements,D2060

D2060.90,Mechanical Metal Supports,05 45 13,Common work results for process support plumbing,D2060
D2060.90,Healthcare Metal Supports,05 45 23,Healthcare metal supports,D2060
D2060.90,Common Work Results for Plumbing,22 05 00,Common work results for process support plumbing,D2060
D2060.90,Valves,22 05 23,Process support plumbing valves,D2060
D2060.90,Hangers and Supports,22 05 29,Process support plumbing hangers and supports,D2060
D2060.90,Heat Tracing,22 05 33,Process support plumbing heat tracing,D2060
D2060.90,Vibration and Seismic Controls,22 05 48,Process support plumbing vibration and seismic controls,D2060
D2060.90,Identification,22 05 53,Process support plumbing identification,D2060
D2060.90,Insulation,22 07 00,Process support plumbing insulation,D2060
D2060.90,Instrumentation and Controls,22 09 00,Process support plumbing instrumentation and controls,D2060

Would you like me to start checking D30 HVAC sections next?
